,productid,flavor_n_pos,flavor_avg_pos,flavor_sum_pos,flavor_n_neg,flavor_abg_neg,flavor_sum_neg,flavor_n_neu,flavor_avg,taste_n_pos,taste_avg_pos,taste_sum_pos,taste_n_neg,taste_abg_neg,taste_sum_neg,taste_n_neu,taste_avg,product_n_pos,product_avg_pos,product_sum_pos,product_n_neg,product_abg_neg,product_sum_neg,product_n_neu,product_avg,price_n_pos,price_avg_pos,price_sum_pos,price_n_neg,price_abg_neg,price_sum_neg,price_n_neu,price_avg,quality_n_pos,quality_avg_pos,quality_sum_pos,quality_n_neg,quality_abg_neg,quality_sum_neg,quality_n_neu,quality_avg,brand_n_pos,brand_avg_pos,brand_sum_pos,brand_n_neg,brand_abg_neg,brand_sum_neg,brand_n_neu,brand_avg,texture_n_pos,texture_avg_pos,texture_sum_pos,texture_n_neg,texture_abg_neg,texture_sum_neg,texture_n_neu,texture_avg,package_n_pos,package_avg_pos,package_sum_pos,package_n_neg,package_abg_neg,package_sum_neg,package_n_neu,package_avg,variety_n_pos,variety_avg_pos,variety_sum_pos,variety_n_neg,variety_abg_neg,variety_sum_neg,variety_n_neu,variety_avg,smell_n_pos,smell_avg_pos,smell_sum_pos,smell_n_neg,smell_abg_neg,smell_sum_neg,smell_n_neu,smell_avg
0,B001E4KFG0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,1.66,3.33,0,0.0,0.0,1,1.11,0,0.0,0.0,0,0.0,0.0,0,0.0,1,2.33,2.33,0,0.0,0.0,0,2.33,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0
1,B00813GRG4,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,-3.75,-3.75,1,-1.88,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2,B000LQOCH0,0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
3,B000UA0QIQ,0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
4,B006K2ZZ7K,3,4.13,12.4,0,0.0,0.0,0,4.13,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,3.0,3.0,0,0.0,0.0,0,3.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
5,B000E7L2R4,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
6,B00171APVA,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
7,B0001PB9FE,0,0.0,0.0,0,0.0,0.0,0,0.0,1,1.0,1.0,1,-1.48,-1.48,0,-0.24,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
8,B0009XLVG0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
9,B001GVISJM,2,1.5,3.0,0,0.0,0.0,0,1.5,0,0.0,0.0,0,0.0,0.0,0,0.0,2,3.0,6.0,0,0.0,0.0,1,2.0,3,2.11,6.33,0,0.0,0.0,0,2.11,1,2.0,2.0,0,0.0,0.0,0,2.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
10,B00144C10S,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
11,B0001PB9FY,0,0.0,0.0,0,0.0,0.0,0,0.0,1,1.0,1.0,1,-1.48,-1.48,0,-0.24,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
12,B003F6UO7K,0,0.0,0.0,0,0.0,0.0,0,0.0,1,3.5,3.5,0,0.0,0.0,0,3.5,1,3.5,3.5,1,-1.17,-1.17,0,1.17,1,3.5,3.5,1,-2.25,-2.25,0,0.62,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
13,B001EO5QW8,6,2.01,12.08,2,-0.68,-1.35,1,1.19,9,1.81,16.25,1,-1.25,-1.25,1,1.36,4,1.97,7.88,0,0.0,0.0,0,1.97,1,0.88,0.88,0,0.0,0.0,0,0.88,2,2.36,4.72,0,0.0,0.0,0,2.36,6,2.42,14.5,4,-1.09,-4.35,0,1.01,1,4.0,4.0,1,-1.5,-1.5,0,1.25,0,0.0,0.0,1,-1.25,-1.25,0,-1.25,7,1.7,11.89,1,-0.32,-0.32,0,1.45,0,0.0,0.0,0,0.0,0.0,0,0.0
14,B000G6RPMY,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
15,B002GWHC0G,0,0.0,0.0,0,0.0,0.0,0,0.0,3,2.5,7.5,0,0.0,0.0,0,2.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,5.0,5.0,0,0.0,0.0,0,5.0
16,B004N5KULM,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,2.38,4.77,0,0.0,0.0,0,2.38,1,3.0,3.0,0,0.0,0.0,1,1.5,1,1.77,1.77,0,0.0,0.0,0,1.77,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,2,2.62,5.25,0,0.0,0.0,0,2.62,0,0.0,0.0,0,0.0,0.0,0,0.0
